Annee_prod,Bassin_versant,Cap_tot_act,Cap_tot_init,Cote,Date,Latitude,Longitude,Nom_Ar,Nom_Fr,_id,apports,cumul_annee_prec,cumul_annuel_apports,cumul_annuel_lachers,cumul_mensuel_apports,cumul_mensuel_lachers,fonctionnel,id_barrage,lachers,moy_mois,moy_periode,stock,stock_annee_prec
1968,101.0,76.9,81.875,292.04,2019-05-25T00:00:00,36.7614,9.0023,كســاب,kasseb,36,0.356612,32.3906,48.9894,23.2072,0.990431,2.24623,1,3,0.092,0.913573,42.4406,60.5354,46.337
1998,177.0,64.7,74.82,182.0,2019-05-25T00:00:00,36.7341,8.53173,بربرة,barbara,37,4.20047,88.8813,105.423,91.9325,6.76082,3.05294,1,4,1.142,1.69462,82.2398,67.8538,64.1733
1981,7950.0,580.35,814.0,115.0,2019-05-25T00:00:00,36.5907,9.39706,سيدي ســــالم,sidisalem,38,0.192674,165.396,625.228,328.826,15.3303,22.2409,1,5,1.03865,19.9305,377.726,566.172,178.893
1976,390.0,112.037,117.5,221.0,2019-05-25T00:00:00,36.6719,8.78758,بو هرتمـــــه,bouheurtma,39,1.87564,72.2519,144.109,84.4112,5.31684,12.3753,1,6,1.79264,2.78374,79.1148,102.105,76.6846
1983,418.0,118.773,129.9,90.0,2019-05-25T00:00:00,36.9909,9.61373,جوميــــــن,joumine,40,0.153312,45.2399,89.834,40.3018,1.45899,3.3428,1,7,0.153312,1.85273,74.2867,95.0227,62.6301
1984,48.0,10.004,11.7,82.5,2019-05-25T00:00:00,37.0594,9.54582,غزالـــــــة,ghezala,41,0.0161514,5.61552,10.2954,3.89731,0.111062,0.3152,1,8,0.0033,0.226176,9.29646,9.51694,6.06938
2015,85.9,41.0,41.0,136.0,2019-05-25T00:00:00,37.0359,9.41093,المالح,melah,42,0.0,,,,0.0587408,1.13127,1,33,0.03959,0.68,25.232,35.8,
1994,367.0,134.014,137.5,86.5,2019-05-25T00:00:00,37.181,9.47513,سجنــــــان,sejnane,43,0.322733,92.1452,149.806,129.395,1.15795,7.4279,1,9,0.273442,0.61677,116.723,100.285,79.7789
2012,60.0,24.0,24.0,93.0,2019-05-25T00:00:00,36.8824,8.69921,الزرقة,zarga,44,1.1558,31.0135,41.9544,32.8877,1.31622,0.679544,1,10,0.397144,0.64,21.8951,24.49,22.924
2014,85.2,64.4,64.4,85.0,2019-05-25T00:00:00,36.8751,8.71699,الكبير,kebir,45,1.45669,,45.0536,43.4602,2.37229,1.70982,1,31,0.69552,3.33512,38.9403,7.406,6.456
